inventor_id,name,total,rank
fl:ch_ln:cant-3,Chris Cant,2,1
fl:do_ln:kang-21,Dong Min KANG,2,1
fl:ru_ln:goodings-1,Rupert Leslie Alexander Goodings,2,1
fl:yu_ln:li-458,Yu Ngok Li,2,1
00h0tpepjwaw9qg0t71t4iexe,Fumiaki Katagawa,1,5
01as0bxvz97ekrsk41a8xfccq,Hans-Jurgen Hantke,1,5
01e0yoj4hiegh3cscldgcpr4m,Ronald E. Bottino,1,5
01twduguxwaw53942cyr9c6ig,Say Wei Pang,1,5
023k7x7lii8byffkw1bnqgni1,Sandra Oberdieck,1,5
025umf7yony9jw9bxrjm88vag,Wallace Perrigo,1,5
028j3du6osnlncpst2qkb7z7f,Jurriaan Borstlap,1,5
02a7x9g6xf5pri3yzwedibmuf,Jerry H. Atencio,1,5
02stc0bnkwvwkijdt70oj4k2y,Dieter Giersch,1,5
02swadp0wajs9906jzdtecq84,Seiichi Kamamoto,1,5
03r3ipddyth47rvw1rrogw5wg,Philippe D. De Sabatier,1,5
03ua4hfivxfsls66fjv463b5e,Robert W. Caffey,1,5
040ee6uqntxy7c1qhu8wiw5ac,Carmen Francisca Maria van Vilsteren,1,5
046umpvhpskld3p19r2lk4wtm,Elva P. Kopacz,1,5
04jolmt318cms22ateb3ktpij,Carolina Suyu Gutierrez Espinosa,1,5
04l7nn4b6vhkys40gd7rxhh0i,Herjon Shaqiri,1,5
04pywxcdxki1onyp7lgq08v7e,Werner Banzhat,1,5
04s0urtyjt4prdt39c803hed0,Werner Bomberger,1,5
050cxsjq5mlpftlcxr4qwks35,Murat A. Alev,1,5
055shl9kqz7xmkraxfg59iar0,Kurt Mennigmann,1,5
fl:aa_ln:powers-4,Aaron Powers,1,5
fl:ab_ln:lin-2,Abraham T. Lin,1,5
fl:ad_ln:brailove-1,Adam Brailove,1,5
fl:ah_ln:turgeman-2,Aharon Turgeman,1,5
fl:ak_ln:ikegami-2,Akira Ikegami,1,5
fl:ak_ln:kabasawa-3,Akihiko Kabasawa,1,5
fl:ak_ln:maekawa-5,Akinori Maekawa,1,5
fl:ak_ln:ohba-5,Akio Ohba,1,5
fl:ak_ln:pundle-1,Akshay Pundle,1,5
fl:ak_ln:tozaki-1,Akihiro Tozaki,1,5
fl:ak_ln:tsuruoka-1,Akihiko Tsuruoka,1,5
fl:al_ln:bertoletreina-1,Alejandro Bertolet Reina,1,5
fl:al_ln:broadway-1,Alexander R. W. Broadway,1,5
fl:al_ln:buchmann-2,Alice Buchmann,1,5
fl:al_ln:calderoni-1,Alessandro Calderoni,1,5
fl:al_ln:chloma-2,Alexandre Chloma,1,5
fl:al_ln:hedinger-2,Alfred Hedinger,1,5
fl:al_ln:johns-3,Alan Johns,1,5
fl:al_ln:klotz-4,Alexander Klotz,1,5
fl:al_ln:lazarofernandez-1,Alberto Lazaro Fernandez,1,5
fl:al_ln:ma-3,Albert Ma,1,5
fl:al_ln:rodero-1,Alejandro Rodero,1,5
fl:al_ln:rozenstrauch-1,Alexander Rozenstrauch,1,5
fl:al_ln:rubenstein-5,Allen I. Rubenstein,1,5
fl:al_ln:sassi-3,Alexander Sassi,1,5
fl:al_ln:suppes-1,Alexander Suppes,1,5
fl:al_ln:szekely-1,Alex S. Szekely,1,5
fl:am_ln:alali-7,Ammar Al-Ali,1,5
fl:am_ln:karunanidhi-1,Amritha Karunanidhi,1,5
fl:am_ln:kumaragrawal-1,Amit Kumar Agrawal,1,5
fl:am_ln:patil-11,Amrita Patil,1,5
fl:an_ln:bleker-1,Andre BLEKER,1,5
fl:an_ln:boegel-1,Andreas Boegel,1,5
fl:an_ln:brauer-3,Andreas Bräuer,1,5
fl:an_ln:cencini-1,Andrew Cencini,1,5
