patent_id,inventor_id,company_id
D1006496,0,
12029253,4,
6584128,0,
4789863,0,
11161990,1,
6795487,1,
12324454,2,
D474886,0,
11885288,3,ea96c059-5267-4b52-ac70-4cd0915c519e
7646155,0,
4339721,1,
6610738,5,
6448562,1,
4432679,0,
11093663,0,
8977851,0,
10761618,1,
10263820,2,
6503081,0,
10082632,1,
D935390,2,
12354161,1,
D1042490,1,
10805689,0,
4513070,0,
11585813,0,
12259564,3,
D294010,0,
6705909,2,
7423589,0,
12412163,2,
H976,0,
10808661,0,
12085897,0,
8873018,0,
5027236,0,
6060464,7,
6495081,0,
10025433,1,
D291698,0,
11468472,3,
10578989,3,
D754593,0,
11758627,1,
5808321,2,
11350577,1,
4596837,0,
10601583,1,
6028480,0,
5254598,1,
9292510,0,
7393607,1,
8787526,1,
5738825,5,
11447754,6,
7450847,1,
7295616,0,
10755970,2,
3940076,1,
3930794,1,
8426770,4,
8492804,3,
7702337,1,
D544888,0,
4623263,0,
9819994,0,
10323583,0,
11574318,2,
10999938,3,
11514766,4,
6218584,2,
12306814,4,
9177503,5,
D552974,3,
11772379,0,
7131780,0,
6163031,0,
12207663,2,
9248238,0,
11494246,1,
10542585,1,
9747218,2,
6706738,2,
6218041,0,
5449698,2,
9939993,1,
12050012,4,
11994655,0,
10399851,1,
D967187,0,
11585320,1,
10457690,8,
10134082,0,
D869785,0,
5478623,2,
4888086,1,
7882729,0,
4391419,0,
D824799,0,
10058892,1,
8424071,0,
8948801,0,
11977711,6,
6116259,2,
H1236,2,
5368472,0,
8726115,1,
7114173,0,
7566027,1,
H1124,1,
6049313,0,
10951690,1,
7473560,0,
11444369,0,
11041427,0,
D650109,1,
6818327,1,
10999714,2,
10162261,3,
D1035611,1,
3956285,2,
12038126,0,
10617402,1,
8348709,1,
9268695,6,
5229484,1,
8635040,0,
11231168,1,
7298882,2,
9866824,0,
7307986,0,
9223760,1,
10698738,1,
4330526,0,
5865713,0,
D492623,3,
12352283,2,
5444846,0,
5075303,2,
7473133,0,
10331319,4,
8909582,2,
7779367,0,
10911193,2,
5876815,2,
6404762,1,
5183644,1,
7271570,1,
9788546,6,
D1107634,0,
6327180,0,
7700371,6,
7160600,1,
4396387,0,
D725505,1,
7266526,1,
12312536,1,
12273757,1,
9982330,1,
6460632,4,
11224593,0,
10658474,3,
9589072,2,
5340679,4,
4551565,2,
5358071,0,
6466566,4,
D520786,0,
12165353,2,
11617187,2,
7904277,2,
12179842,3,
11595705,0,
8908127,3,
11262090,1,
11528824,4,
9658151,0,
11384864,0,
5706410,3,
6049464,0,
5559840,2,
10891115,1,
